game_id,season,week,game_type,gameday,home_team,away_team,div_game,vegas_spread_display,model_spread_display,spread_line,pred_margin,spread_edge,spread_hit,home_moneyline,away_moneyline,fair_home_ml_prob,pred_home_win_prob,ml_edge,ml_hit,total_line,home_score,away_score,actual_margin,actual_winner,is_outdoor,temp,wind,home_rest_days,away_rest_days
2025_05_LV_IND,2025,5,REG,2025-10-05,IND,LV,0,IND -7.0,IND -7.6,7.0,7.646516978740692,0.6465169787406921,True,-360.0,285.0,0.7508125677139762,0.7926501429757172,0.041837575261741033,1.0,46.5,40.0,6.0,34.0,home,0,70.0,0.0,7,7
2025_05_WAS_LAC,2025,5,REG,2025-10-05,LAC,WAS,0,LAC -2.5,LAC -1.3,2.5,1.3314589262008667,-1.1685410737991333,True,-155.0,130.0,0.5829926410466066,0.5376792344213577,-0.045313406625248964,1.0,47.5,10.0,27.0,-17.0,away,0,70.0,0.0,7,7
2025_05_NYG_NO,2025,5,REG,2025-10-05,NO,NYG,0,NO -1.5,NO -0.2,1.5,0.17170190811157227,-1.3282980918884277,False,-120.0,100.0,0.5217391304347826,0.48312282382219646,-0.03861630661258614,0.0,41.5,26.0,14.0,12.0,home,0,70.0,0.0,7,7
2025_05_DAL_NYJ,2025,5,REG,2025-10-05,NYJ,DAL,0,NYJ -1.5,DAL -6.3,1.5,-6.322417259216309,-7.822417259216309,True,-115.0,-105.0,0.5108342361863488,0.21564185497373647,-0.2951923812126124,1.0,48.5,22.0,37.0,-15.0,away,1,82.0,3.0,6,7
2025_05_DEN_PHI,2025,5,REG,2025-10-05,PHI,DEN,0,PHI -3.5,PHI -10.3,3.5,10.2946138381958,6.794613838195801,False,-218.0,180.0,0.6574752261956054,0.8629446570722134,0.20546943087660796,0.0,44.5,17.0,21.0,-4.0,away,1,80.0,6.0,7,6
2025_05_TB_SEA,2025,5,REG,2025-10-05,SEA,TB,0,SEA -3.5,SEA -4.8,3.5,4.781890153884888,1.2818901538848877,False,-180.0,150.0,0.6164383561643836,0.690227168236339,0.07378881207195542,0.0,44.5,35.0,38.0,-3.0,away,1,61.0,8.0,10,7
2025_05_KC_JAX,2025,5,REG,2025-10-06,JAX,KC,0,KC -3.5,KC -3.1,-3.5,-3.1389516294002533,0.3610483705997467,True,164.0,-198.0,0.3630958183058778,0.33372752766429004,-0.029368290641587746,0.0,45.5,31.0,28.0,3.0,home,1,80.0,12.0,8,8
2025_06_PHI_NYG,2025,6,REG,2025-10-09,NYG,PHI,1,PHI -7.0,PHI -9.1,-7.0,-9.055002927780151,-2.0550029277801514,False,310.0,-395.0,0.23409789548356585,0.14110302913924522,-0.09299486634432064,0.0,40.5,34.0,17.0,17.0,home,1,53.0,3.0,4,4
2025_06_LA_BAL,2025,6,REG,2025-10-12,BAL,LA,0,LA -7.0,LA -9.8,-7.0,-9.816004037857056,-2.8160040378570557,True,280.0,-355.0,0.2522172949002217,0.12460166213861071,-0.127615632761611,1.0,43.5,3.0,17.0,-14.0,away,1,64.0,15.0,7,10
2025_06_DAL_CAR,2025,6,REG,2025-10-12,CAR,DAL,0,DAL -3.0,DAL -6.0,-3.0,-5.970154285430908,-2.970154285430908,False,145.0,-175.0,0.39076376554174075,0.22708082297174662,-0.16368294256999413,0.0,47.5,30.0,27.0,3.0,home,1,68.0,15.0,7,7
